Program,Degree Level,University,Sponsor,Scholarship,Relatives,Visa Attempt,Visa Result,Id
Computer Science,Bachelors,Rhodes College,Father,40k,,First,Approved,141
Electrical,MS,University of Missouri Kansas City (UMKC),Father,,Maternal Uncle,First,Approved,142
Data Analytics,Masters,New Mexico State University,Father,,Brother,First,Approved,143
MSBA,,XYZ University,Father,Yes,Aunt,First,Approved,144
Professional Accountancy,Masters,,Father,,Yes,First,Approved,145
Project Management,Masters,"Northeastern University, Boston",Father,,,Second,Approved,146
PhD in Curriculum and Instruction within Science Education,PhD,Virginia Tech,,100% assistantship,,First,Approved,147
,Master's,"University of California, Davis",Father,,,First,Approved,148
Chemical and Biomolecular Engineering,PhD,,,,,First,Approved,149
Engineering (Civil),Masters,,,Graduate Assistantship,,First,Approved,150
Civil Engineering,Masters,University of Dayton,Father,,Yes,First,Approved,151
Masters,Masters,UT Dallas,Prodigy,Yes,,,,152
Business Administration,Bachelors,DePaul University,Cousin,,,First,Approved,153
Observership,,,Father,,,First,Approved,154
,,,Applicant,,Spouse and Children,First,Approved,155
Computer Science,Bachelor,University of Illinois,Father,,2 brothers and 2 sisters,Third,Approved,156
,,Indiana Institute of Tech,Father's business,,,First,Approved,157
MBA,Masters,,Father,,,First,Approved,158
Business Analytics,Masters,Mercer University,Father,,,First,Approved,159
Economics,Masters,George Mason,Father and Brother-in-law,,Sister,First,Approved,160
Civil Engineering,Masters,Texas Tech University,Mother,50%,No,Second,Approved,161
MS Biological Sciences,Masters,New Mexico Highlands University,Father,,,First,Approved,162
,,Penn State,,Full tuition scholarship,,Second,Approved,163
Computer Science,Masters,DePaul,Parents,,,First,Approved,164
PhD in Physics,PhD,Purdue University,,Fully funded,No relatives in USA,First,Refused,165
,,Westcliff University,,,,Second,Refused (214B),166
Business,Bachelors,Illinois University Carbondale,Father,,,First,"Refused

N/A (for the appointment question)",167
,,,,,,Previous Refusal,N/A (not mentioned if the visa was approved or refused this time),168
ECE,BS,SIUE/Purdue Northwest,Father,8K/year (SIUE),Uncle,Third,Refused,169
BBA,Bachelor,,,,,First,Refused,170
MS/MBA,,,,,,Second,Rejected,171
CS,Masters,Florida State University,Brother,,Brother,First,Rejected,172
English Course (Pathway),,Oregon State University,Cousin,,Cousin,First,Rejected,173
,,,,,,First,Rejected,174
"Data Science, Data Analytics, Business Analytics, Computer Science",Masters,,,,,,,175
MS Project Management,Masters,Boston,Father,,,Second,Refused,176
MBA,,"NYIT, Manhattan Campus",,,,First,Rejected,177
,,Louisiana Tech University,,,,First,Rejected,178
Doctorate in Business Administration,PhD,Westclift University,Self and Father,,,First,Rejected,179
Business Analytics,Masters,Hofstra University,Parents,,,First,Rejected,180
MS in Java,Masters,MIU,Self-finance,,Father,First,Rejected,181
Business Administration,Bachelors,University of Utah,Family,"$35,000 ",,First,Rejected,182
Computer Science,Masters,RU,Inheritance and Personal Funds,,,First,Rejected,183
MCS,,Cleveland State University,Self,,Father,First,Rejected,184
Computer Science,,,Father,Yes,Yes,Second,Rejected,185
,,FIU,Uncle,,Uncle,First,Rejected,186
Computer Science,Masters,Westcliff University,Father,,,First,Rejected,187
,,,,,Husband,3,Rejected,188
,,DePaul,,50%,,2,Rejected,189
MS Business Analytics,Masters,Brandeis,,,,First,"Refused

When can they reapply for the F1? - N/A (Need to check the reason for refusal)
Is applying after 24 hours too soon? - N/A
If so, how long should they wait? - N/A
What can they change in the application? - N/A (Need to check the reason for refusal)",190
Computer Science,Bachelors,,Father,65%,Brother (deceased),First,Rejected,191
,Bachelors,Westcliff University,Father,,,First,Rejected,192
MBA in Global Affairs,Masters,Bay Atlantic University,Father,,,First,Rejected,193
,,,,,Brother,Second,,194
,,,,,,,,195
Software Engineering,Bachelors,University of Arizona,Mother,,,First,Rejected,196
,,,,,,Second (assumed),Rejected,197
Fashion Design and Merchandise,Diploma,Los Angeles Community College,Husband,,,First,Rejected,198
Data Science and Analytics,Masters,Grand Valley State University,Father,,,Second,Rejected,199
Computer Science,Bachelors,Queens College CUNY,Father,,,First,Rejected (214b),200
MS Data Science -> Masters in Business Analytics,N/A (Assuming it's still Masters),Minnesota State University -> University of Dayton,Brother -> Father,,Sister on J-1 visa,Second,,201
CIS,BS,Eastern Illinois University,Father,Partial,,First,Rejected,202
Computer Science,Masters,University of Dayton,Father,Yes,,First,Rejected (214b),203
Business Administration and Management,Bachelors,Missouri State University,Father,,,Second,Rejected,204
MBA,,University of North Texas,Father,,,First,Rejected (214b),205
Physics,Bachelors,University of Wisconsin Milwaukee,Father,,,First,Rejected,206
Business,Bachelors,Murray State University,Father,,,First,Rejected,207
Business Administration,Bachelors,Whittier College LA,Father,,,Second,Rejected,208
Quantitative Risk Analysis & Management,Masters,Georgia State University,Father,Full-tuition wavier and GRA,,First,Rejected (214b),209
Computer Sciences,Undergraduate,DePaul University,Father,52% scholarship at DePaul,No other relative,First,Rejected,210
Computer Science,Bachelors,Washington State University,Father,,Brother,First,Rejected,211
MS Engineering (Electrical),Masters,Saint Louis,Global Graduate  Program,7000$,,First,Rejected,212
Computer Science,Bachelors,,,,,Second,Rejected,213
MBA with Healthcare Management Specialization,,Concordia University Chicago,Uncle,,Uncle,Third,Rejected,214
Cyber Security,Associates,,Father,,,Second,Rejected,215
,,,Family,,,Australia and Canada,"Rejected. For F1 visa, N/A.",216
Mechanical Engineering,MS,Georgia Southern University,Self,Yes,Friend,First,Rejected (214B),217
International Business,Bachelors,Minnesota State University Mankato,Father,,,First,Rejected,218
Management Information Systems,Masters,University of Illinois Springfield,Father,,,First,Rejected,219
MBA with concentration in IT,Masters,University of the Potomac,Father,50%,,First,Rejected,220
Information Systems,,Adelphi University,Mother,,,First,Rejected,221
Computers and Information Technology,Bachelors,"Alfred University NY (1st attempt), Palm Beach Atlantic University FA (2nd attempt)",Father,,No relatives in US s,2,Rejected,222
Film,Masters,Chatham University,Father,,,First,Rejected,223
,,,Father,Yes,,Second,,224
Engineering Management,Masters,Indiana Institute of Technology,Uncle,,Uncle,Second,,225
Masters,,,,100%,,2,Rejected,226
Economics and Business Administration,Undergraduate,,,,,2nd,Rejected,227
HR Management,Masters,Northeastern University,Father,,Brother,First,Approved,228
Business Administration,Bachelors,Youngstown State University,Uncle,,Uncle,First,Rejected,229
,,,Self,,No,First,Rejected,230
Computer Science,Bachelors,St. Thomas University,,70%,,First,Rejected,231
,,,Father/Uncle,,Uncle,Second,,232
MBA,,University of Maine,Uncle,Trustee Tuition Scholarship,Uncle,Second,Rejected,233
Business Administration,Bachelors,University of South Alabama,Brother,,,Third,Refused,234
,,Southern Illinois University/South Dakota State University,,,,Second,Pending,235
M.A Higher Education in Academic Advising,Masters,Rowan University NJ,Father,,,First,Rejected,236
,,,,,Cousin,First,Rejected,237
ESL and Computer Science,Bachelors,University of Kentucky,Father,,,First,Refused,238
Chemistry,Bachelors,Minnesota State University Mankato,Father,"$7,700 ",,First,Rejected (214B),239
Business Management,Bachelors,,Uncle,,,First,Rejected,240
Masters in CS,Masters,Maharishi International University,Self,,,First,Refused,241
,,UT Arlington,,,,,,242
Masters,F1,,,,,Third,,243
Chemistry PhD,PhD,Boston University,,Fully funded,,First,Approved,244
Industrial Engineering,,"Southern Illinois University, Edwardsville",,$15000 for 2 years,,,,245
,,,,,Uncle,Fourth,Refused,246
Nutrition,PhD,University of Minnesota,HEC,Yes,,First,Accepted,247
MS(IT),Masters,Westcliff,,,,First,"Refused

As an AI language model, I cannot provide personal opinions or recommendations. However, it is important to answer truthfully and confidently during the visa interview. If you feel that your answer was not clear or convincing enough, you can try to improve your explanation. Changing universities may or may not improve your chances of getting a visa, as it depends on various factors. It is recommended to research and choose a university that has a good reputation and acceptance rate for international students.",248
Software Engineering,Masters,,Father,$41k/year,Brother studying in Italy,Second,Refused,249
Economics,Undergraduate (Bachelors),"Miami University in Oxford, Ohio",Parents,Automatic,,First,Approved,250
Masters in Civil Engineering,Masters,Texas Tech,Father,,"Elder brother, younger sister",Fourth,Approved,251
Computer Science,Masters,,,,Parents and younger sibling,First,Refused,252
Chemistry,Bachelors,,Father,"$10,000 per year",,First,Refused (214b),253
Food and Nutrition,MPhil,University of Minnesota,HEC and University,Fully Funded,,First,,254
,Bachelors,University of Kansas,Father,36k,Father,First,Approved,255
Data Science,Masters,"Illinois Institute of Technology, American University Washington DC, Florida Atlantic University, University of the Pacific California",,,,,,256
IT,Bachelors,,,,,Second,Rejected,257
Physical Education and Nutrition,,Adelphi University NY,,,,,,258
Training Session,,,Self,,,First,Approved,259
Academic Intensive English,,Salem University,Brother,,,First,Approved,260
Computer Science Engineering,PhD,University of North Texas Denton,,,,First,Approved,261
,,,,,,First,Administrative Processing (221g),262
Engineering Management,Masters,Central Michigan University,Father,,,Third,Refused,263
Business Administration,Bachelors,Williamson College of Business,Father,,,First,Approved,264
Doctor of Business Administration,Doctorate,Westcliff University,,,,First,Refused (214(b)),265
,,New York Institute of Technology,Father,,,Second,Refused,266
MS Business Analytics,Masters,DePaul University,Father,Yes,Brother,First,Approved,267
,,Central Michigan University,Father,,,First,Refused,268
BS Industrial Engineering,,"University of Illinois at Chicago, University of Dayton, Auburn University, University of Central Florida, University of the Pacific",,,,Canada study visa refused,,269
Biological Sciences,BS,University of Arizona,Father,,,First,Refused,270
Business Analytics,,UMass Boston,Father,,,First,,271
Doctorate,,,,,,First,Approved,272
Mechanical Engineering,Bachelors,Indiana Institute of Technology,Father,"$13,000 ",N/A s,Fourth,Refused,273
Engineering,Masters,,,,,First,Approved,274
BSCS,,NYU,Father,,,First,Approved,275
,,,,,,First,221(g) Administrative Processing,276
Conference,,George Mason University,,Fully Funded,,First,Approved,277
Cinematography and Film Production,,,Father,Yes,,Second,Approved,278
Business Administration,Bachelors,University of South Alabama,Brother,,,3,Refused,279
SCM,Masters,,Father,,,First,Refused,280
,,,,,,First,,281
Mechanical Engineering,Masters,University of Dayton,Father,,No,First,Approved,282
F2 Visa,,,,,,First,Administrative Processing,283
MS Computer Science,Masters,Not mentioned,Father,Yes (Assistantship),,First,Approved,284
PhD,,,,,,First,Refused,285
Chemical Engineering PhD,PhD,University of Massachusetts Amherst,Assistantship,,,First,Approved,286
PhD,,,Funded position/HEC,Yes,,First,Administrative Processing (AP),287
Computer Science,Bachelors,University of Illinois at Chicago,Father,,No,First,Approved,288
,,University of Louisiana at Monroe,,90%,,First,Refused (221g),289
Physics,PhD,Texas Tech University,,,,First,AP (221g),290
Information Technology,Masters,Gannon University,,,,First,Refused,291
Engineering,Masters,,Uncle,,No,First,Refused,292
MS BA,Masters,USF,Father,,,First,Approved,293
,,South Dakota State University,,,,First,,294
MSBA,Masters,"WP Carey (Arizona State University), Utah, Umass Amherst",,,,,,295
Transportation Engineering,Masters,University of Washington,Father,,Uncle,First,Rejected,296
Business Analytics,Masters,Mercer,Self,,,First,Approved,297
Nursing,BS,Pace University,Father,,,Third,Refused,298
Masters,,,,,,First,Refused,299
Business Analytics,Masters,Mercer University,Father,,No,First,Approved,300
Computer Science,,UMass Boston,Father,,,Second,Refused,301
Career Counseling,Master's and Specialist,Florida State University,Uncle,Assistantship,Uncle,First,Approved,302
,,,,Yes,,,,303
Computer and Information Sciences,Masters,Adelphi University,Father,,Brothers,Second,Refused,304
Industrial Engineering,Masters,Texas A&M University,Parents,,Sister,First,Approved,305
PhD,F1,,,Funded,,First,,306
Energy Management,Masters,New York Institute of Technology,,,Father,First,Rejected,307
,,DePaul University,Employer,,,First,Refused,308
J-1 Visa,,,,,,Second,Refused,309
,,,Uncle,,Uncle,Second,Approved,310
,,,,,,Second,Refused,311
Health Sciences,Bachelor's,Texas A&M University,Father,,Uncle,First,Approved,312
Computer Science,Masters,DePaul,,,,,,313
HealthCare Analytics,Masters,Robert Morris University,Father,,Younger sister,Third,Approved,314
,,,,,,First,Refused (221g),315
Computer Science,Masters,University of Bridgeport,,Yes,,First,Refused,316
Bachelors,Bachelors,,,,,First,Approved,317
J1,,,,,,First,Refused (pending administrative processing),318
Undergrad,,T-50 university,,80,,First,Approved (but under administrative processing),319
Autonomous Systems & Robotics,,Illinois Institute of Technology,Father,$7k per semester,,First,Refused,320
Mechanical Engineering,Masters,,,,Sister,First,Approved,321
Peace and Conflict Studies,Masters,"Rutgers University, Newark",Father,,,First,Refused,322
Business Administration,Bachelor,North American University,Parents,Yes,,First,Refused,323
,,Iowa State University,Father,,Brother,First,Rejected,324
,,,Family,,Brother in USA,First,Approved,325
Engineering Management,Masters,,Father,,Family in Saudi Arabia,First,Approved,326
Hospitality Management,Baccalaureate,South Dakota State University,Father,,,First,Approved,327
Masters in Peace and Conflict / Masters in Political Science,Masters,Rutgers-Newark / University of South Florida,Self / N/A,,,,,328
Engineering Management,Masters,Gannon University,,,,First,Refused,329
MPA,Masters,University of Alabama,,,,First,Rejected,330
Health Care Management,Masters,,,,,First,Refused,331
Business Administration,Masters,University of New Haven,Xyz,,,First,Approved,332
PhD,PhD,Oregon State University,Fully Funded,Stipend + Graduate Assistantship,,,,333
Electrical and Computer Engineering,Bachelors,University of Arizona,Father,,No,Second,Approved,334
Graduate Program,Masters,Bard College,Self,Yes,,,,335
Double Major in Economics and Business Administration,Undergraduate,University of South Dakota,Father,Partial Scholarship,,Second,Rejected,336
Structural Engineering,MSc,University of Texas at Austin,Uncle,,Uncle,First,,337
,,Cleveland State University,,,,2,Refused.,338
Public Affairs,Masters,"Indiana University, Bloomington",,Yes,Yes,First,Approved,339
Computer Science,Masters,MIU,Self,,,First,"Rejected

To improve in the second attempt, you should provide more concrete reasons for choosing the university and the course. You should also provide a more detailed plan for how you will pay for your education and living expenses. Listing yourself as the sponsor is not necessarily a weak point, but you should be prepared to provide evidence of your financial ability to support yourself during your studies.",340
Public Administration,Masters,Central Michigan University,,,,First,Refused,341
Computer Science,Bachelors,Adelphi University,,,,Second,Refused,342
Computer Science,Masters,Canada and America,Fully Funded,Yes,,,,343
,,University of Central Oklahoma,Father,,,Second,Refused,344
Marketing,Bachelors,DePaul University,Father,Yes,,First,Approved,345
,,UIC,Father,,,First,Refused,346
Electrical Engineering,Masters,"California State University, Northridge",Brother-in-law,Yes,Father (deceased),First,Refused,347
Civil Engineering,PhD,University of Kansas,,Yes,,First,Approved,348
,,,,,,Fourth,Refused,349
,,,,,F2,First,Refused,350
,,,,Full scholarship,Brother,First,Refused,351
,,,,,,,Pending,352
MBA,,,Self,Financial Aid,No,First,Approved,353
Computer Science,Bachelors,Rhodes College,Father,40k,Brother,First,Approved,354
Criminal Justice and Law Enforcement Administration,Masters,University of North Alabama,,,,First,Approved,355
F2,,,,,,First,Administrative Processing (AP),356
MSCS,Masters,,,,,2,Refused,357
PhD,,University of Florida,Fully Funded,,Spouse,,,358
IT,Masters,Pace University,Father,Yes,No,Second,Approved,359
Civil and Environmental Engineering PhD,PhD,Rowan University,Graduate Assistantship/Fellowship,Yes,,First,Approved,360
PhD,PhD,Told,University,Fully funded,,Renewal,AP 221g,361
MBA,,Kentucky State University Frankfort,Parents,,,Second,Refused,362
Computer Science,Community College,Highline College,,,,First,Rejected,363
Human Resource Management,Masters,University of Texas at Arlington,Uncle,,Father's sister's husband,Second,Approved,364
Master,,Saint Paul State University,Self,,Cousin,First,Rejected,365
Postdoctoral Research,,,University,,,First,221(g) Refusal,366
,,,,,,Third,Approved,367
Civil Engineering,Masters,University of Texas at Arlington,,,Brother on F1 Visa,Second,Approved,368
Civil Engineering,Masters,Lamar University,Father,Merit,,First,Approved,369
Bachelors,,"University of Alabama, La Roche University",Uncle,14k USD per year,Uncle,Third,,370
Computer Science,Bachelors,Queens College NY,,,Brother,Second,Refused,371
F2 Visa,,,,,,First,Rejected,372
Flight School,,,Father and Cousin,,No,2,Refused,373
Electrical Engineering,Masters,,Father,Yes,No,First,Approved,374
Masters,,,Husband,,Father-in-law,First,Refused,375
MPA,Masters,University of Michigan-Flint,Uncle,,Uncle,First,Refused,376
,,,,Fully funded or strong financial sponsorship,Immediate family members,,,377
Business,Bachelors,South Dakota State University,Father,,,First,Refused,378
Business Administration and Management,Bachelors,Minnesota State University,,,,First,Refused,379
Law,Masters,University of California Davis,Father,,,First,Administrative Processing (Blue Slip),380
Civil Engineering,Masters,Virginia Tech,Father,,Extended family,First,Approved,381
Mechanical Engineering,Masters,University of New Haven,,Pending,,,,382
,,,Father,41k$,Brother,First,#VisaRefused,383
Masters,Masters,Bard College,Self,Partial Financial Aid,,,,384
Computer Sciences,Bachelors,University of Pacific,Father,,"Paternal Uncle, Grandparents, Dada Abu, Dado Ami",Second,Refused,385
,,,,,Wife,First,Refused,386
Computer Science with Information and Communication Technology,Masters,Old Dominion University,Uncle,,Brother-in-law,Second,Refused,387
Structural Engineering PhD,PhD,Caltech,,Fully funded,,First,Approved,388
MS Digital Supply Chain Management,Masters,California State Uni Pomona Campus,Father,,,Third,Refused,389
,,,,,,,Administrative Processing,390
,,,,,Friend,First,Refused,391
Mech and Aerospace Engineering,,,Father,,,First,Approved,392
PhD,,University of Kentucky Lexington,,,,,,393
Postdoc,,"University of Washington, Seattle",Postdoc Supervisor,,Spouse and Toddler,First,Approved,394
Ph.D.,,Michigan State University,,Fully Funded,,First,Administrative Processing,395
MS Civil Engineering,Masters,"University of Washington, North Carolina State University, Iowa State University",,,,,,396
N/A (not mentioned),N/A (not mentioned),Mississippi State University,Father,100%,,N/A (not mentioned),N/A (not mentioned),397
CS,Bachelors,USF,Family,12k USD/year,,,,398
Computer Science,Bachelors,Adelphi University,Father,,Mother,First,Refused,399
MBA,Masters,"Cornell, University of Texas Austin Mccombs, Michigan Ross",,,,,,400
Computer Science,Bachelors,Minnesota State University Mankato,Father,45%,,First,Approved,401
PhD,Doctoral,Oregon State University,University,Yes,,First,,402
Mechanical Engineering,Masters,Cleveland State,Father,,,Second,Refused,403
Mechanical Engineering,Masters,University of Pennsylvania or University of Illinois at Urbana Champaign,,,,,,404
